all,-1.77833,0.00175885,0.00137674,0.00365126,0.00180265,-0.000327846,-0.0062633,-0.0020739,-0.00125073,0.00521238,-0.0012857,-0.00134232,0.00686065,0.00266333,0.00310328,-0.00434275,0.0023388,0.00965354,-0.000188544,-0.000264063
yellow,0.555911,-0.0029618,-0.00495383,0.00223992,0.000714863,0.0056399,0.00169632,0.000862994,0.000718805,-0.0015989,-0.00240156,-0.000879731,-0.00104811,0.00404825,-0.00810972,0.00022657,-0.00201433,-0.00191626,0.00259295,-0.00271539
four,0.454128,0.000799171,0.000639045,-0.000292856,0.00115407,-0.00198098,-0.00470155,0.00402834,-0.00463106,-0.00209502,-0.000641694,-0.000224438,0.00071431,0.00210928,-0.00294998,-0.00371031,0.00292185,0.00553245,0.00708923,-0.00753303
ceased,0.662898,0.00319832,-0.00402445,-0.000609922,-0.00461981,0.0030611,-0.00013784,-0.0024056,-0.00277915,-0.00278315,0.00433605,0.00152481,0.00217983,0.000570178,-0.000358552,-0.00625264,0.00221736,0.00184446,0.00240989,-0.000530339
sleep,0.346601,0.000484845,0.00235365,-0.00081093,-0.00268567,0.00673578,0.00211638,0.00552556,0.00174241,0.000394272,-0.00224667,0.00587635,0.00185994,0.00138051,0.00458701,-0.00114426,0.00183653,0.00221869,-0.000909748,-0.00137107
go,0.0213394,-2.71576e-05,-0.00754567,-0.00200019,-0.00366957,0.00325131,-0.00330268,-0.00119528,0.00257525,0.00126142,-0.00132232,-0.00102328,-0.00495893,0.00135453,-0.000559945,0.00601629,-0.00530227,0.00296192,0.00208445,-0.00256843
follow,0.485175,-0.00427304,0.00154152,-0.00313815,-0.000783489,0.000960995,-0.00517119,-0.00126401,-0.00265283,0.00191322,-0.00113404,-0.00126177,3.41932e-05,0.00290788,0.00394573,-0.00491046,0.00437975,-0.00281135,-0.00463214,-0.00429785
abundant,0.636769,-0.00148956,-0.00561728,0.00352858,-0.000655356,0.00161365,-0.00032455,0.00178269,-0.00115356,-0.000281468,0.00642669,0.000890759,-0.00461719,-0.00226956,-0.00547245,-0.00150378,0.00103379,-0.000729047,-0.000783116,0.00167306
seemed,-1.23645,0.00853293,0.000640174,-0.00716581,-0.00464205,-0.00629301,0.00253528,0.00308983,-0.00189314,-0.00875973,0.000350941,0.00046581,-0.00129021,0.00153042,-0.00163983,-0.00566618,0.00236145,-0.00711896,0.00345752,0.002428
to,-2.44722,0.00232013,0.00140697,1.31316e-06,0.00632925,0.00569543,-0.00637917,0.00122344,-0.00355946,-0.00146947,0.00190812,0.00199319,0.000187095,0.00254686,-0.000464434,0.00883049,0.000853434,-0.00136711,-0.00221471,0.00442406
charge,0.411814,0.00232715,0.00373357,-0.000460525,-0.000210412,0.00284507,0.001085,-0.00116154,0.000528055,0.00313198,0.000628488,0.00242801,0.00197398,-0.0033988,0.00225337,0.00354988,0.0046832,-0.00162609,-0.0066771,0.00100856
those,-0.0531494,-0.00273021,0.002367,0.00320669,0.00712551,-0.00130213,-0.00193381,0.00598559,0.00518455,-0.00754086,0.007525,0.000722466,0.00124216,0.00201183,0.000214937,0.00111109,0.00304153,0.0011295,0.00172316,-0.00141894
under,-0.905478,-0.00475965,0.000481292,0.000269287,-0.0107168,0.00446701,0.00703124,-0.000553976,0.00245816,0.00160213,0.00055438,0.000239341,0.0036692,0.00307426,-0.00266042,-0.00262842,-0.00200339,0.00513624,-0.00315557,-0.00280355
fancied,0.581506,8.11894e-05,0.00300565,0.00214133,0.00333283,-0.00449011,0.00108693,-0.00458817,-0.00127665,0.00150089,0.00312609,-0.00522099,0.00481966,0.00276355,-0.00264269,-0.00248196,-0.0016712,-0.00459054,0.00830195,0.00357994
brown,0.500696,0.00447232,-0.00381818,-0.00196409,0.00130436,0.00616891,0.00147858,-0.00123728,0.00166653,0.00369293,0.00455532,0.00239912,0.00284619,-0.0056501,-0.00161577,0.000564738,0.00087392,0.0060739,-0.000132885,0.00286225
presently,-0.0677372,0.00312359,0.000158175,0.00219992,0.00263802,-0.00196622,-0.00117632,0.00261005,0.00982561,0.00293601,-0.00313122,0.00322644,-0.0039294,0.00308443,-0.00369082,-0.00276543,0.00560867,-2.27455e-05,0.000421365,0.00319264
puzzled,0.447794,-0.00368466,0.00308334,-0.00350793,0.0032375,-0.00195981,0.00331346,0.00315285,-0.00205217,0.000191677,0.00480093,-2.09827e-06,-0.00386545,0.00156496,0.000853059,-0.00135287,0.000630468,0.00503112,0.000524543,0.0025151
very,-1.56254,-0.000191933,0.00502502,-0.00154572,-0.00184316,-0.00201435,0.00385158,-0.000672841,-0.00547889,0.000519,-0.0043753,-0.00177232,0.0071046,-0.00360078,0.00347698,0.00202419,0.00989991,0.00465273,0.00369772,0.00183167
horror,0.640595,0.000498096,-0.00229881,-0.0022773,0.00719902,4.36837e-05,0.00323561,0.000575892,0.00463766,-0.00746302,-0.0019887,-0.00208131,0.000218829,-0.00816044,0.000101792,-0.00213212,0.000530653,-0.00108171,-0.000703372,-0.00383272
account,0.645704,-0.000174801,0.00037603,0.00188515,-0.00428629,0.0037456,-0.000268716,0.00817,0.00122909,0.004685,0.00471163,-0.000248819,-0.00140921,0.00221864,-0.00196276,0.00226026,-0.0023937,0.00293336,-0.002627,0.00201922
difference,0.629646,0.00477518,-0.00539847,-0.00522229,-0.00236289,-0.00413351,-0.00132529,-0.000188434,0.00182557,0.00331153,0.00647719,0.00188295,-0.00453151,-0.00495548,-0.00133333,-0.00951308,-0.00350947,0.000242392,0.00414941,0.000412291
vast,0.17522,-0.00365754,-0.00702266,0.000200351,0.00112779,0.00460634,-0.000949855,0.00335914,8.39997e-05,1.52092e-05,0.00504526,-0.00322998,-0.00191366,0.00247615,-0.00222177,-0.00361857,-0.00116883,-0.0044693,-0.000352488,0.00164662
common,0.709939,0.00110475,-0.00648232,0.0043647,-0.00253997,0.00719478,-0.00169965,0.00627393,-0.00365764,0.00397652,-0.00384645,0.00307386,-0.000824289,0.00352441,0.00212658,-0.0024504,-0.0013739,-0.00106563,-0.00152323,-0.0019265
dim,0.167056,-0.000293719,0.00194421,0.00634545,-0.00114075,-0.00502513,0.00658569,-0.00712209,-0.00264012,0.00172635,0.00194725,-0.0067236,-0.00575821,0.000630844,0.00124917,0.000795575,0.00346175,-0.00401362,0.00233905,-0.00733424
did,-0.830883,-0.00113431,0.0034273,0.00801678,-0.00407712,0.00131385,0.00430704,0.00340785,0.00179967,0.00474968,-0.00470868,-0.00220989,0.00200191,-0.009053,-0.00398427,-0.00230735,0.00108208,-0.00282592,0.00112662,-0.00363626
leave,0.467504,-0.0022654,0.00967787,-0.00601758,0.000439138,-0.00408989,0.00767435,0.00126482,-0.00188,-0.00175491,0.00115817,0.000248006,-0.00794741,1.09102e-05,-0.00102145,0.00480621,-0.00220347,0.00114611,-6.84727e-05,0.00716722
