all,19.3361462929,11.8557667344
yellow,5.88912781684,-21.8987699279
four,1.44010051449,-12.4704623486
ceased,-2.73782671401,0.405909577472
sleep,-13.3338746092,-10.1925160562
go,-8.79338792854,9.83129828853
follow,7.45710256939,-12.9946965249
abundant,-3.8924052579,-2.79807667407
seemed,19.0593380266,5.55801323455
to,5.01704820719,22.3578582895
charge,-4.66446526127,-13.1940998345
those,-4.99699398183,11.8672353006
under,14.3312821336,5.12482440496
fancied,2.55415201526,-18.9929589036
brown,9.85995431296,-15.2033385463
presently,-4.61132463041,12.4496522543
puzzled,0.956086520047,-12.9049199379
very,20.4304101376,9.43272399406
horror,-3.79428009055,-2.5014440448
account,-3.98214925102,-0.931561122445
difference,-3.23242877069,-3.21396192377
vast,-18.4296414728,3.09517980816
common,2.75827998979,4.52644441081
dim,-18.0452705524,3.86095515298
did,13.1332982206,5.7409007584
leave,4.14330807909,-11.8730761347
plain,1.23454462099,-12.4848239963
small,-7.41178775412,10.5724316489
lever,10.6670237282,-15.301168311
round,10.543619014,8.29539037762
triumph,-17.9059301396,-3.71658374109
slower,1.9433839792,-18.4285492257
past,-13.6084387217,7.30469391666
second,-18.8790424954,-1.76718107562
pass,9.37841960251,-19.6456994651
further,-18.905982302,-1.46980578055
helpless,-2.08113891176,-6.7898962372
odd,-10.0641840636,9.06267382631
creatures,-7.94269407304,10.2467945139
what,19.3448655112,5.8226196823
stood,8.14728179968,10.430616736
darkness,-8.0775324223,10.1865657874
sun,6.03523867125,11.6693479028
while,-4.03543260799,12.2003430459
above,5.08400398641,12.1969942995
new,7.68512383899,10.5905565188
ever,-3.63845280562,12.346066723
told,-16.4188563561,-6.15623119238
led,-1.8493685696,-5.64572636303
whose,2.10111640302,-18.7834303886
never,0.28598990896,12.9596651605
certainly,0.398771371734,2.95718796738
here,-0.433127724835,12.9821653715
met,4.39078549889,-22.619478729
slow,-1.481422204,-7.61738357653
let,-3.43019987282,-13.0948124576
others,9.61312470858,-14.7835932989
alone,-11.0618265131,-12.1090026349
along,-8.10273975302,10.148532759
quite,-18.7512115725,1.83801135598
change,9.04476857486,-22.3479006722
wait,-1.50031848877,-7.58222795157
box,-2.61068273764,-6.69700959265
great,12.4158440066,6.36686381711
copyright,-1.03549667442,12.9440961811
larger,-14.0163287048,-10.124142427
suggestion,2.20966334639,2.60053398603
social,4.93843494111,-22.8198426116
narrow,-12.0863457275,-11.5599647658
hither,4.37707869469,-20.2052512956
followed,-18.5970110822,1.92566073942
suddenly,-11.6996597854,8.49460731964
should,-5.73074491468,11.5589791126
standing,-17.7523867151,-4.25626521591
use,-18.5476219302,-1.6044134181
fee,-18.7370571016,-1.38073259304
eye,4.93980223858,-11.7854965713
faint,0.0350073659817,-8.07740955124
arms,7.05829599495,-12.4431526491
next,-16.9486923402,-6.17787376732
few,-10.495922845,-11.5460201485
doubt,-18.9664289341,-0.889914636733
calm,4.68333128686,-21.4214793337
memory,9.5895861562,-13.5984717449
taken,-15.3710311111,-8.58728874244
means,9.44506123378,-21.3839814525
until,-3.97071529215,12.1180957089
more,20.3415669398,8.51963564875
door,-13.5649680513,-9.6033879842
started,1.50312959462,-19.4423499514
line,-19.1151279887,1.6201243031
occurred,-4.32518096353,-1.8537587429
glass,-19.0364650925,2.20548330358
warm,2.85713199889,3.26573466058
loose,-3.61356773698,-2.04115606907
hold,-5.11321034056,-13.0761177403
effort,0.14265440645,2.30610767898
must,20.5468419039,10.0611864818
me,7.23679082726,20.9523108117
none,-12.7786595317,-10.4827999081
pushed,-3.97376386715,-3.73999936538
this,6.22479535629,21.9330349569
work,13.4183040532,5.54308420219
paragraph,-17.8165465872,-4.00512204361
can,14.1206319073,5.01666433997
growing,-14.619632973,-9.19044885612
making,3.42012026996,3.82255926669
my,5.64141450866,22.1414986698
beautiful,-16.5663619447,5.65779276295
figure,7.85792310244,-12.3398274386
give,7.37586892602,-21.130456124
in,6.40282809939,21.8095729113
tax,7.73420258856,-21.1413926166
heard,0.591999793472,12.9559210615
something,-16.6329305955,5.94124283785
want,-14.3638947747,-9.26105287532
sense,-0.981446381342,-13.3616143365
times,-18.6566895066,-1.73432996159
absolute,7.34799311955,-21.5957575012
huge,-13.85738255,7.70838812222
needs,-0.077589996496,2.82842978612
end,-14.5015539361,7.70991730066
provide,5.22281545405,-23.1426251144
travel,-2.93451035164,-12.806223148
comfort,-3.82208225271,-1.41815785781
sudden,-18.9842381076,0.14124059441
machine,10.5164451448,8.63275826703
how,19.0125266354,5.54151134014
animal,-18.7333709295,-2.52243064813
instead,-8.12272036372,-12.8511694927
stir,0.189978368139,-12.3698142594
creature,10.5780938464,-14.6652364316
buildings,-6.68944047881,-13.1447942044
tried,-4.15390850131,12.6784540875
may,19.2627446674,5.83554017533
stop,-4.73180580421,-3.53805390666
after,10.1379846595,8.70108590635
them,13.747687641,5.31796031891
lay,-18.9111259782,1.52401023285
coming,-15.3322536898,7.38323939565
such,8.21824218103,10.3816679617
grow,-3.71372815381,-13.4912735355
man,-5.26217438272,11.5668150193
a,4.87687390401,22.3692234375
natural,-0.497672138362,2.98139559524
remember,-5.05817658589,-12.7127469089
together,7.97856373793,-22.3967795947
light,-0.0467155173615,13.0003086613
rather,1.49647393155,12.8368378057
cannot,4.57123601599,12.2405149421
green,-10.8669034078,-12.2382403133
every,-11.4069116552,8.61128149196
volunteers,1.5207292229,-21.0086122722
make,0.322200231728,12.947157951
refund,-15.6494154409,-8.34244521281
help,-2.80246764062,-5.87190530822
indeed,-11.196962265,-12.5772580406
